ID|Level|Spec Name |Description|Current Functionality|Comments
1|1|Smart Contract|Must have the ability to create,||
1.1|2|High level Language Use|A set of HLL syntaxes and semantics to enable writing Algorand Smart Contracts.||
1.1.1|3|High level Language Use Native Syntax|Each HLL definition should use as much native syntax as possibile while keeping the number of new concepts, types, and idioms to a minimum.||
1.1.2|3|Clear definition of native High Level Language Syntax|Must define exactly what subset of the native HLL is available and the restriction when it is.||
1.2|1|Smart Contract Compilation|Has the ability to compile Algorand Python code into AVM (Algorand Virtual Machine) bytecode for execution on the Algorand blockchain||
1.2.1|2|Modular Design|The components of the compiler should have a modular design that enables extensibility and code reuse, facilitating future enhancements and support for new languages or platforms||
1.2.2|2|Frontend|Has the ability to compile code from an AlgoKit-support language to Intermediate Representation of the code||
1.2.2.1|3|Support Languages|Must have the ability to support multiple languages in which users will write smart contracts. These languages must be as semantically close as possible to the original languages||
1.2.2.1.1|4|Python|Must support the Python language||
1.2.2.1.2|4|Typescript|Must support the Typescript Language||
1.2.3|2|Multi-stage optimization|Must support applying multiple optimization passes at different IR stages that allow for more specialized and effective optimizations. The end result should be TEAL Intermediate Representation||
1.2.3.1|3|Optimization Parameters|Must be able to optimize the code based on the following parameters||
1.2.3.1.1|4|opcode budget|Must be able to optimize the code for opcode budget||
1.2.3.1.2|4|code size|Must be able to optimize the code for code size||
1.2.4|2|Output|The compiler should be able to turn TEAL Intermediate Representation to various target languages and output various files generated from the TEAL.||
1.2.4.1|3|Artifacts|The compiler should generate various output artifacts, including:||
1.2.4.1.1|4|TEAL code|The compiler should output TEAL code||
1.2.4.1.2|4|AVM bytecode|The compiler should output AVM bytecode||
1.2.4.1.3|4|ARC-32 application specification file|The compiler should output ARC-32 application specification files (for ARC-4 contracts)||
1.2.4.1.4|4|ARC-56 application specification file|The compiler should output ARC-56 application specification files (for ARC-4 contracts)||
1.2.4.1.5|4|Source Maps|Must be able to produce debugging symbols and source maps.||
1.2.4.2|3|AVM Target Version|Must be able to target all versions of the AVM.||
1.3|2|Data Types|Uses a typing system for the particular language that that provide a statically typed representation of the behaviour that is possible on the Algorand Virtual Machine|MyPy for python, Typescript for Javascript|
1.3.1|3|AVM Types|||
1.3.1.1|4|UInt64|||
1.3.1.2|4|Bytes|||
1.3.1.3|4|String|||
1.3.1.4|4|BigUInt|||
1.3.1.5|4|bool|||
1.3.1.6|4|Account|||
1.3.1.7|4|Asset|||
1.3.1.8|4|Application|||
